experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_755,classical_beam,2ca5b4b89b0e,20251105_200623,beam,saved_experiments\compare_routers_10x10_755\metrics\classical_beam_20251105_200623_2ca5b4b89b0e.json,saved_experiments\compare_routers_10x10_755\solutions\classical_beam_20251105_200623_2ca5b4b89b0e.json,saved_experiments\compare_routers_10x10_755\images\classical_beam_20251105_200623_2ca5b4b89b0e.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,5,47,17,7
compare_routers_10x10_755,classical_wave,69f6b99c8261,20251105_200623,wave,saved_experiments\compare_routers_10x10_755\metrics\classical_wave_20251105_200623_69f6b99c8261.json,saved_experiments\compare_routers_10x10_755\solutions\classical_wave_20251105_200623_69f6b99c8261.json,saved_experiments\compare_routers_10x10_755\images\classical_wave_20251105_200623_69f6b99c8261.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,5,37,17,9
compare_routers_10x10_755,quantum_astar,bf10e865a2be,20251105_200635,quantum,saved_experiments\compare_routers_10x10_755\metrics\quantum_astar_20251105_200635_bf10e865a2be.json,saved_experiments\compare_routers_10x10_755\solutions\quantum_astar_20251105_200635_bf10e865a2be.json,saved_experiments\compare_routers_10x10_755\images\quantum_astar_20251105_200635_bf10e865a2be.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,25,17,6
compare_routers_10x10_755,quantum_smart,575fc25f78bd,20251105_200637,quantum,saved_experiments\compare_routers_10x10_755\metrics\quantum_smart_20251105_200637_575fc25f78bd.json,saved_experiments\compare_routers_10x10_755\solutions\quantum_smart_20251105_200637_575fc25f78bd.json,saved_experiments\compare_routers_10x10_755\images\quantum_smart_20251105_200637_575fc25f78bd.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,3,17,17,3
compare_routers_10x10_755,quantum_smartv2,cb315bfe0baa,20251105_200639,quantum,saved_experiments\compare_routers_10x10_755\metrics\quantum_smartv2_20251105_200639_cb315bfe0baa.json,saved_experiments\compare_routers_10x10_755\solutions\quantum_smartv2_20251105_200639_cb315bfe0baa.json,saved_experiments\compare_routers_10x10_755\images\quantum_smartv2_20251105_200639_cb315bfe0baa.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,3,17,17,3
