experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_247,classical_beam,0cf1b6efb3e7,20251105_174031,beam,saved_experiments\compare_routers_10x10_247\metrics\classical_beam_20251105_174031_0cf1b6efb3e7.json,saved_experiments\compare_routers_10x10_247\solutions\classical_beam_20251105_174031_0cf1b6efb3e7.json,saved_experiments\compare_routers_10x10_247\images\classical_beam_20251105_174031_0cf1b6efb3e7.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,3,42,30,5
compare_routers_10x10_247,classical_wave,ccc073ce4771,20251105_174032,wave,saved_experiments\compare_routers_10x10_247\metrics\classical_wave_20251105_174032_ccc073ce4771.json,saved_experiments\compare_routers_10x10_247\solutions\classical_wave_20251105_174032_ccc073ce4771.json,saved_experiments\compare_routers_10x10_247\images\classical_wave_20251105_174032_ccc073ce4771.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,3,22,30,7
compare_routers_10x10_247,quantum_astar,4f88ea425458,20251105_174103,quantum,saved_experiments\compare_routers_10x10_247\metrics\quantum_astar_20251105_174103_4f88ea425458.json,saved_experiments\compare_routers_10x10_247\solutions\quantum_astar_20251105_174103_4f88ea425458.json,saved_experiments\compare_routers_10x10_247\images\quantum_astar_20251105_174103_4f88ea425458.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,3,22,30,5
compare_routers_10x10_247,quantum_smart,d8076c0736b2,20251105_174109,quantum,saved_experiments\compare_routers_10x10_247\metrics\quantum_smart_20251105_174109_d8076c0736b2.json,saved_experiments\compare_routers_10x10_247\solutions\quantum_smart_20251105_174109_d8076c0736b2.json,saved_experiments\compare_routers_10x10_247\images\quantum_smart_20251105_174109_d8076c0736b2.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,2,12,30,2
compare_routers_10x10_247,quantum_smartv2,f0d08ebc0197,20251105_174112,quantum,saved_experiments\compare_routers_10x10_247\metrics\quantum_smartv2_20251105_174112_f0d08ebc0197.json,saved_experiments\compare_routers_10x10_247\solutions\quantum_smartv2_20251105_174112_f0d08ebc0197.json,saved_experiments\compare_routers_10x10_247\images\quantum_smartv2_20251105_174112_f0d08ebc0197.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,2,12,30,2
