experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_420,classical_beam,6a058051f404,20251105_182734,beam,saved_experiments\compare_routers_10x10_420\metrics\classical_beam_20251105_182734_6a058051f404.json,saved_experiments\compare_routers_10x10_420\solutions\classical_beam_20251105_182734_6a058051f404.json,saved_experiments\compare_routers_10x10_420\images\classical_beam_20251105_182734_6a058051f404.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,6,57,11,13
compare_routers_10x10_420,classical_wave,d6c76c2875a3,20251105_182734,wave,saved_experiments\compare_routers_10x10_420\metrics\classical_wave_20251105_182734_d6c76c2875a3.json,saved_experiments\compare_routers_10x10_420\solutions\classical_wave_20251105_182734_d6c76c2875a3.json,saved_experiments\compare_routers_10x10_420\images\classical_wave_20251105_182734_d6c76c2875a3.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,6,56,11,18
compare_routers_10x10_420,quantum_astar,64ffeaf9feb9,20251105_182740,quantum,saved_experiments\compare_routers_10x10_420\metrics\quantum_astar_20251105_182740_64ffeaf9feb9.json,saved_experiments\compare_routers_10x10_420\solutions\quantum_astar_20251105_182740_64ffeaf9feb9.json,saved_experiments\compare_routers_10x10_420\images\quantum_astar_20251105_182740_64ffeaf9feb9.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,5,45,11,17
compare_routers_10x10_420,quantum_smart,aa5655a0a4e5,20251105_182742,quantum,saved_experiments\compare_routers_10x10_420\metrics\quantum_smart_20251105_182742_aa5655a0a4e5.json,saved_experiments\compare_routers_10x10_420\solutions\quantum_smart_20251105_182742_aa5655a0a4e5.json,saved_experiments\compare_routers_10x10_420\images\quantum_smart_20251105_182742_aa5655a0a4e5.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,27,11,8
compare_routers_10x10_420,quantum_smartv2,9770cf60339e,20251105_182744,quantum,saved_experiments\compare_routers_10x10_420\metrics\quantum_smartv2_20251105_182744_9770cf60339e.json,saved_experiments\compare_routers_10x10_420\solutions\quantum_smartv2_20251105_182744_9770cf60339e.json,saved_experiments\compare_routers_10x10_420\images\quantum_smartv2_20251105_182744_9770cf60339e.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,27,11,8
