experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_157,classical_beam,7d88fa7e3274,20251105_171513,beam,saved_experiments\compare_routers_10x10_157\metrics\classical_beam_20251105_171513_7d88fa7e3274.json,saved_experiments\compare_routers_10x10_157\solutions\classical_beam_20251105_171513_7d88fa7e3274.json,saved_experiments\compare_routers_10x10_157\images\classical_beam_20251105_171513_7d88fa7e3274.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,6,54,22,6
compare_routers_10x10_157,classical_wave,e077e0fa16a0,20251105_171513,wave,saved_experiments\compare_routers_10x10_157\metrics\classical_wave_20251105_171513_e077e0fa16a0.json,saved_experiments\compare_routers_10x10_157\solutions\classical_wave_20251105_171513_e077e0fa16a0.json,saved_experiments\compare_routers_10x10_157\images\classical_wave_20251105_171513_e077e0fa16a0.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,5,42,22,6
compare_routers_10x10_157,quantum_astar,c7fb9ba7d8fc,20251105_171531,quantum,saved_experiments\compare_routers_10x10_157\metrics\quantum_astar_20251105_171531_c7fb9ba7d8fc.json,saved_experiments\compare_routers_10x10_157\solutions\quantum_astar_20251105_171531_c7fb9ba7d8fc.json,saved_experiments\compare_routers_10x10_157\images\quantum_astar_20251105_171531_c7fb9ba7d8fc.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,6,50,22,7
compare_routers_10x10_157,quantum_smart,d87b4276b256,20251105_171536,quantum,saved_experiments\compare_routers_10x10_157\metrics\quantum_smart_20251105_171536_d87b4276b256.json,saved_experiments\compare_routers_10x10_157\solutions\quantum_smart_20251105_171536_d87b4276b256.json,saved_experiments\compare_routers_10x10_157\images\quantum_smart_20251105_171536_d87b4276b256.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,30,22,2
compare_routers_10x10_157,quantum_smartv2,6584a525a263,20251105_171541,quantum,saved_experiments\compare_routers_10x10_157\metrics\quantum_smartv2_20251105_171541_6584a525a263.json,saved_experiments\compare_routers_10x10_157\solutions\quantum_smartv2_20251105_171541_6584a525a263.json,saved_experiments\compare_routers_10x10_157\images\quantum_smartv2_20251105_171541_6584a525a263.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,30,22,2
