experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_244,classical_beam,cea20c37fbfb,20251105_174000,beam,saved_experiments\compare_routers_10x10_244\metrics\classical_beam_20251105_174000_cea20c37fbfb.json,saved_experiments\compare_routers_10x10_244\solutions\classical_beam_20251105_174000_cea20c37fbfb.json,saved_experiments\compare_routers_10x10_244\images\classical_beam_20251105_174000_cea20c37fbfb.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,6,40,12,6
compare_routers_10x10_244,classical_wave,0d7637fd0b33,20251105_174000,wave,saved_experiments\compare_routers_10x10_244\metrics\classical_wave_20251105_174000_0d7637fd0b33.json,saved_experiments\compare_routers_10x10_244\solutions\classical_wave_20251105_174000_0d7637fd0b33.json,saved_experiments\compare_routers_10x10_244\images\classical_wave_20251105_174000_0d7637fd0b33.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,6,44,12,17
compare_routers_10x10_244,quantum_astar,96d3876647d9,20251105_174007,quantum,saved_experiments\compare_routers_10x10_244\metrics\quantum_astar_20251105_174007_96d3876647d9.json,saved_experiments\compare_routers_10x10_244\solutions\quantum_astar_20251105_174007_96d3876647d9.json,saved_experiments\compare_routers_10x10_244\images\quantum_astar_20251105_174007_96d3876647d9.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,5,26,12,6
compare_routers_10x10_244,quantum_smart,e05780cba9a8,20251105_174008,quantum,saved_experiments\compare_routers_10x10_244\metrics\quantum_smart_20251105_174008_e05780cba9a8.json,saved_experiments\compare_routers_10x10_244\solutions\quantum_smart_20251105_174008_e05780cba9a8.json,saved_experiments\compare_routers_10x10_244\images\quantum_smart_20251105_174008_e05780cba9a8.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,21,12,3
compare_routers_10x10_244,quantum_smartv2,f6fe1dc00936,20251105_174010,quantum,saved_experiments\compare_routers_10x10_244\metrics\quantum_smartv2_20251105_174010_f6fe1dc00936.json,saved_experiments\compare_routers_10x10_244\solutions\quantum_smartv2_20251105_174010_f6fe1dc00936.json,saved_experiments\compare_routers_10x10_244\images\quantum_smartv2_20251105_174010_f6fe1dc00936.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,21,12,3
