experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_756,classical_beam,dc65fcf316de,20251105_200639,beam,saved_experiments\compare_routers_10x10_756\metrics\classical_beam_20251105_200639_dc65fcf316de.json,saved_experiments\compare_routers_10x10_756\solutions\classical_beam_20251105_200639_dc65fcf316de.json,saved_experiments\compare_routers_10x10_756\images\classical_beam_20251105_200639_dc65fcf316de.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,3,36,17,4
compare_routers_10x10_756,classical_wave,0380d6d2f356,20251105_200640,wave,saved_experiments\compare_routers_10x10_756\metrics\classical_wave_20251105_200640_0380d6d2f356.json,saved_experiments\compare_routers_10x10_756\solutions\classical_wave_20251105_200640_0380d6d2f356.json,saved_experiments\compare_routers_10x10_756\images\classical_wave_20251105_200640_0380d6d2f356.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,4,36,17,8
compare_routers_10x10_756,quantum_astar,d782e541dd57,20251105_200650,quantum,saved_experiments\compare_routers_10x10_756\metrics\quantum_astar_20251105_200650_d782e541dd57.json,saved_experiments\compare_routers_10x10_756\solutions\quantum_astar_20251105_200650_d782e541dd57.json,saved_experiments\compare_routers_10x10_756\images\quantum_astar_20251105_200650_d782e541dd57.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,38,17,8
compare_routers_10x10_756,quantum_smart,f4cee94418ff,20251105_200651,quantum,saved_experiments\compare_routers_10x10_756\metrics\quantum_smart_20251105_200651_f4cee94418ff.json,saved_experiments\compare_routers_10x10_756\solutions\quantum_smart_20251105_200651_f4cee94418ff.json,saved_experiments\compare_routers_10x10_756\images\quantum_smart_20251105_200651_f4cee94418ff.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,1,6,17,0
compare_routers_10x10_756,quantum_smartv2,da44647d31e1,20251105_200653,quantum,saved_experiments\compare_routers_10x10_756\metrics\quantum_smartv2_20251105_200653_da44647d31e1.json,saved_experiments\compare_routers_10x10_756\solutions\quantum_smartv2_20251105_200653_da44647d31e1.json,saved_experiments\compare_routers_10x10_756\images\quantum_smartv2_20251105_200653_da44647d31e1.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,1,6,17,0
