experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_789,classical_beam,0afc969d0e0e,20251105_201608,beam,saved_experiments\compare_routers_10x10_789\metrics\classical_beam_20251105_201608_0afc969d0e0e.json,saved_experiments\compare_routers_10x10_789\solutions\classical_beam_20251105_201608_0afc969d0e0e.json,saved_experiments\compare_routers_10x10_789\images\classical_beam_20251105_201608_0afc969d0e0e.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,5,61,19,14
compare_routers_10x10_789,classical_wave,86ea9c0e761a,20251105_201609,wave,saved_experiments\compare_routers_10x10_789\metrics\classical_wave_20251105_201609_86ea9c0e761a.json,saved_experiments\compare_routers_10x10_789\solutions\classical_wave_20251105_201609_86ea9c0e761a.json,saved_experiments\compare_routers_10x10_789\images\classical_wave_20251105_201609_86ea9c0e761a.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,5,59,19,17
compare_routers_10x10_789,quantum_astar,37ac3dd479c0,20251105_201621,quantum,saved_experiments\compare_routers_10x10_789\metrics\quantum_astar_20251105_201621_37ac3dd479c0.json,saved_experiments\compare_routers_10x10_789\solutions\quantum_astar_20251105_201621_37ac3dd479c0.json,saved_experiments\compare_routers_10x10_789\images\quantum_astar_20251105_201621_37ac3dd479c0.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,8,62,19,11
compare_routers_10x10_789,quantum_smart,d225dd382f7b,20251105_201625,quantum,saved_experiments\compare_routers_10x10_789\metrics\quantum_smart_20251105_201625_d225dd382f7b.json,saved_experiments\compare_routers_10x10_789\solutions\quantum_smart_20251105_201625_d225dd382f7b.json,saved_experiments\compare_routers_10x10_789\images\quantum_smart_20251105_201625_d225dd382f7b.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,6,31,19,9
compare_routers_10x10_789,quantum_smartv2,813938b24499,20251105_201628,quantum,saved_experiments\compare_routers_10x10_789\metrics\quantum_smartv2_20251105_201628_813938b24499.json,saved_experiments\compare_routers_10x10_789\solutions\quantum_smartv2_20251105_201628_813938b24499.json,saved_experiments\compare_routers_10x10_789\images\quantum_smartv2_20251105_201628_813938b24499.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,6,44,19,13
