experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_832,classical_beam,13cb748d24c3,20251105_202821,beam,saved_experiments\compare_routers_10x10_832\metrics\classical_beam_20251105_202821_13cb748d24c3.json,saved_experiments\compare_routers_10x10_832\solutions\classical_beam_20251105_202821_13cb748d24c3.json,saved_experiments\compare_routers_10x10_832\images\classical_beam_20251105_202821_13cb748d24c3.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,5,46,25,7
compare_routers_10x10_832,classical_wave,24cd70acadd3,20251105_202821,wave,saved_experiments\compare_routers_10x10_832\metrics\classical_wave_20251105_202821_24cd70acadd3.json,saved_experiments\compare_routers_10x10_832\solutions\classical_wave_20251105_202821_24cd70acadd3.json,saved_experiments\compare_routers_10x10_832\images\classical_wave_20251105_202821_24cd70acadd3.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,5,32,25,13
compare_routers_10x10_832,quantum_astar,25f6eb78fa48,20251105_202848,quantum,saved_experiments\compare_routers_10x10_832\metrics\quantum_astar_20251105_202848_25f6eb78fa48.json,saved_experiments\compare_routers_10x10_832\solutions\quantum_astar_20251105_202848_25f6eb78fa48.json,saved_experiments\compare_routers_10x10_832\images\quantum_astar_20251105_202848_25f6eb78fa48.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,18,25,4
compare_routers_10x10_832,quantum_smart,571eee2a568b,20251105_202852,quantum,saved_experiments\compare_routers_10x10_832\metrics\quantum_smart_20251105_202852_571eee2a568b.json,saved_experiments\compare_routers_10x10_832\solutions\quantum_smart_20251105_202852_571eee2a568b.json,saved_experiments\compare_routers_10x10_832\images\quantum_smart_20251105_202852_571eee2a568b.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,3,13,25,2
compare_routers_10x10_832,quantum_smartv2,1e4cfb099a16,20251105_202854,quantum,saved_experiments\compare_routers_10x10_832\metrics\quantum_smartv2_20251105_202854_1e4cfb099a16.json,saved_experiments\compare_routers_10x10_832\solutions\quantum_smartv2_20251105_202854_1e4cfb099a16.json,saved_experiments\compare_routers_10x10_832\images\quantum_smartv2_20251105_202854_1e4cfb099a16.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,3,13,25,4
