experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_492,classical_beam,8801f7ef0693,20251105_184822,beam,saved_experiments\compare_routers_10x10_492\metrics\classical_beam_20251105_184822_8801f7ef0693.json,saved_experiments\compare_routers_10x10_492\solutions\classical_beam_20251105_184822_8801f7ef0693.json,saved_experiments\compare_routers_10x10_492\images\classical_beam_20251105_184822_8801f7ef0693.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,6,55,12,6
compare_routers_10x10_492,classical_wave,fa97fab6710d,20251105_184823,wave,saved_experiments\compare_routers_10x10_492\metrics\classical_wave_20251105_184823_fa97fab6710d.json,saved_experiments\compare_routers_10x10_492\solutions\classical_wave_20251105_184823_fa97fab6710d.json,saved_experiments\compare_routers_10x10_492\images\classical_wave_20251105_184823_fa97fab6710d.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,5,39,12,5
compare_routers_10x10_492,quantum_astar,c750c945766b,20251105_184829,quantum,saved_experiments\compare_routers_10x10_492\metrics\quantum_astar_20251105_184829_c750c945766b.json,saved_experiments\compare_routers_10x10_492\solutions\quantum_astar_20251105_184829_c750c945766b.json,saved_experiments\compare_routers_10x10_492\images\quantum_astar_20251105_184829_c750c945766b.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,5,39,12,4
compare_routers_10x10_492,quantum_smart,872b17aa58a3,20251105_184832,quantum,saved_experiments\compare_routers_10x10_492\metrics\quantum_smart_20251105_184832_872b17aa58a3.json,saved_experiments\compare_routers_10x10_492\solutions\quantum_smart_20251105_184832_872b17aa58a3.json,saved_experiments\compare_routers_10x10_492\images\quantum_smart_20251105_184832_872b17aa58a3.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,25,12,3
compare_routers_10x10_492,quantum_smartv2,f4d8270c257b,20251105_184834,quantum,saved_experiments\compare_routers_10x10_492\metrics\quantum_smartv2_20251105_184834_f4d8270c257b.json,saved_experiments\compare_routers_10x10_492\solutions\quantum_smartv2_20251105_184834_f4d8270c257b.json,saved_experiments\compare_routers_10x10_492\images\quantum_smartv2_20251105_184834_f4d8270c257b.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,25,12,3
