experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_653,classical_beam,0945e3ee3829,20251105_193410,beam,saved_experiments\compare_routers_10x10_653\metrics\classical_beam_20251105_193410_0945e3ee3829.json,saved_experiments\compare_routers_10x10_653\solutions\classical_beam_20251105_193410_0945e3ee3829.json,saved_experiments\compare_routers_10x10_653\images\classical_beam_20251105_193410_0945e3ee3829.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,8,76,24,16
compare_routers_10x10_653,classical_wave,5cc93f8e5387,20251105_193411,wave,saved_experiments\compare_routers_10x10_653\metrics\classical_wave_20251105_193411_5cc93f8e5387.json,saved_experiments\compare_routers_10x10_653\solutions\classical_wave_20251105_193411_5cc93f8e5387.json,saved_experiments\compare_routers_10x10_653\images\classical_wave_20251105_193411_5cc93f8e5387.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,8,58,24,17
compare_routers_10x10_653,quantum_astar,8e2163fb3404,20251105_193427,quantum,saved_experiments\compare_routers_10x10_653\metrics\quantum_astar_20251105_193427_8e2163fb3404.json,saved_experiments\compare_routers_10x10_653\solutions\quantum_astar_20251105_193427_8e2163fb3404.json,saved_experiments\compare_routers_10x10_653\images\quantum_astar_20251105_193427_8e2163fb3404.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,10,60,24,12
compare_routers_10x10_653,quantum_smart,db4bb53284ba,20251105_193430,quantum,saved_experiments\compare_routers_10x10_653\metrics\quantum_smart_20251105_193430_db4bb53284ba.json,saved_experiments\compare_routers_10x10_653\solutions\quantum_smart_20251105_193430_db4bb53284ba.json,saved_experiments\compare_routers_10x10_653\images\quantum_smart_20251105_193430_db4bb53284ba.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,8,37,24,6
compare_routers_10x10_653,quantum_smartv2,84b655bea6ae,20251105_193433,quantum,saved_experiments\compare_routers_10x10_653\metrics\quantum_smartv2_20251105_193433_84b655bea6ae.json,saved_experiments\compare_routers_10x10_653\solutions\quantum_smartv2_20251105_193433_84b655bea6ae.json,saved_experiments\compare_routers_10x10_653\images\quantum_smartv2_20251105_193433_84b655bea6ae.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,8,37,24,5
