experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_984,classical_beam,9a69c6bfa17e,20251105_211751,beam,saved_experiments\compare_routers_10x10_984\metrics\classical_beam_20251105_211751_9a69c6bfa17e.json,saved_experiments\compare_routers_10x10_984\solutions\classical_beam_20251105_211751_9a69c6bfa17e.json,saved_experiments\compare_routers_10x10_984\images\classical_beam_20251105_211751_9a69c6bfa17e.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,8,66,25,11
compare_routers_10x10_984,classical_wave,b2bc51a9c8af,20251105_211752,wave,saved_experiments\compare_routers_10x10_984\metrics\classical_wave_20251105_211752_b2bc51a9c8af.json,saved_experiments\compare_routers_10x10_984\solutions\classical_wave_20251105_211752_b2bc51a9c8af.json,saved_experiments\compare_routers_10x10_984\images\classical_wave_20251105_211752_b2bc51a9c8af.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,9,70,25,16
compare_routers_10x10_984,quantum_astar,b6d5ed8a1acb,20251105_211814,quantum,saved_experiments\compare_routers_10x10_984\metrics\quantum_astar_20251105_211814_b6d5ed8a1acb.json,saved_experiments\compare_routers_10x10_984\solutions\quantum_astar_20251105_211814_b6d5ed8a1acb.json,saved_experiments\compare_routers_10x10_984\images\quantum_astar_20251105_211814_b6d5ed8a1acb.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,8,48,25,11
compare_routers_10x10_984,quantum_smart,9cb0fa8ecc5c,20251105_211819,quantum,saved_experiments\compare_routers_10x10_984\metrics\quantum_smart_20251105_211819_9cb0fa8ecc5c.json,saved_experiments\compare_routers_10x10_984\solutions\quantum_smart_20251105_211819_9cb0fa8ecc5c.json,saved_experiments\compare_routers_10x10_984\images\quantum_smart_20251105_211819_9cb0fa8ecc5c.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,7,53,25,7
compare_routers_10x10_984,quantum_smartv2,fca9406ec2e6,20251105_211824,quantum,saved_experiments\compare_routers_10x10_984\metrics\quantum_smartv2_20251105_211824_fca9406ec2e6.json,saved_experiments\compare_routers_10x10_984\solutions\quantum_smartv2_20251105_211824_fca9406ec2e6.json,saved_experiments\compare_routers_10x10_984\images\quantum_smartv2_20251105_211824_fca9406ec2e6.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,7,43,25,7
