experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_445,classical_beam,eb8d81ecd034,20251105_183359,beam,saved_experiments\compare_routers_10x10_445\metrics\classical_beam_20251105_183359_eb8d81ecd034.json,saved_experiments\compare_routers_10x10_445\solutions\classical_beam_20251105_183359_eb8d81ecd034.json,saved_experiments\compare_routers_10x10_445\images\classical_beam_20251105_183359_eb8d81ecd034.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,5,49,19,8
compare_routers_10x10_445,classical_wave,ecc8a98c1860,20251105_183359,wave,saved_experiments\compare_routers_10x10_445\metrics\classical_wave_20251105_183359_ecc8a98c1860.json,saved_experiments\compare_routers_10x10_445\solutions\classical_wave_20251105_183359_ecc8a98c1860.json,saved_experiments\compare_routers_10x10_445\images\classical_wave_20251105_183359_ecc8a98c1860.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,6,38,19,10
compare_routers_10x10_445,quantum_astar,24dd1fb81357,20251105_183411,quantum,saved_experiments\compare_routers_10x10_445\metrics\quantum_astar_20251105_183411_24dd1fb81357.json,saved_experiments\compare_routers_10x10_445\solutions\quantum_astar_20251105_183411_24dd1fb81357.json,saved_experiments\compare_routers_10x10_445\images\quantum_astar_20251105_183411_24dd1fb81357.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,6,29,19,7
compare_routers_10x10_445,quantum_smart,648975807a74,20251105_183414,quantum,saved_experiments\compare_routers_10x10_445\metrics\quantum_smart_20251105_183414_648975807a74.json,saved_experiments\compare_routers_10x10_445\solutions\quantum_smart_20251105_183414_648975807a74.json,saved_experiments\compare_routers_10x10_445\images\quantum_smart_20251105_183414_648975807a74.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,6,32,19,8
compare_routers_10x10_445,quantum_smartv2,073d5aa8f3a3,20251105_183417,quantum,saved_experiments\compare_routers_10x10_445\metrics\quantum_smartv2_20251105_183417_073d5aa8f3a3.json,saved_experiments\compare_routers_10x10_445\solutions\quantum_smartv2_20251105_183417_073d5aa8f3a3.json,saved_experiments\compare_routers_10x10_445\images\quantum_smartv2_20251105_183417_073d5aa8f3a3.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,6,32,19,8
