experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_849,classical_beam,868ef5221902,20251105_203256,beam,saved_experiments\compare_routers_10x10_849\metrics\classical_beam_20251105_203256_868ef5221902.json,saved_experiments\compare_routers_10x10_849\solutions\classical_beam_20251105_203256_868ef5221902.json,saved_experiments\compare_routers_10x10_849\images\classical_beam_20251105_203256_868ef5221902.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,8,66,24,15
compare_routers_10x10_849,classical_wave,f5a8aa098e8c,20251105_203256,wave,saved_experiments\compare_routers_10x10_849\metrics\classical_wave_20251105_203256_f5a8aa098e8c.json,saved_experiments\compare_routers_10x10_849\solutions\classical_wave_20251105_203256_f5a8aa098e8c.json,saved_experiments\compare_routers_10x10_849\images\classical_wave_20251105_203256_f5a8aa098e8c.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,7,54,24,17
compare_routers_10x10_849,quantum_astar,e4da7cadf0f0,20251105_203316,quantum,saved_experiments\compare_routers_10x10_849\metrics\quantum_astar_20251105_203316_e4da7cadf0f0.json,saved_experiments\compare_routers_10x10_849\solutions\quantum_astar_20251105_203316_e4da7cadf0f0.json,saved_experiments\compare_routers_10x10_849\images\quantum_astar_20251105_203316_e4da7cadf0f0.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,9,60,24,12
compare_routers_10x10_849,quantum_smart,fbe820fb41e7,20251105_203321,quantum,saved_experiments\compare_routers_10x10_849\metrics\quantum_smart_20251105_203321_fbe820fb41e7.json,saved_experiments\compare_routers_10x10_849\solutions\quantum_smart_20251105_203321_fbe820fb41e7.json,saved_experiments\compare_routers_10x10_849\images\quantum_smart_20251105_203321_fbe820fb41e7.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,8,48,24,8
compare_routers_10x10_849,quantum_smartv2,c5494ca090bd,20251105_203325,quantum,saved_experiments\compare_routers_10x10_849\metrics\quantum_smartv2_20251105_203325_c5494ca090bd.json,saved_experiments\compare_routers_10x10_849\solutions\quantum_smartv2_20251105_203325_c5494ca090bd.json,saved_experiments\compare_routers_10x10_849\images\quantum_smartv2_20251105_203325_c5494ca090bd.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,8,48,24,10
