experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_689,classical_beam,b37c5e928f6a,20251105_194520,beam,saved_experiments\compare_routers_10x10_689\metrics\classical_beam_20251105_194520_b37c5e928f6a.json,saved_experiments\compare_routers_10x10_689\solutions\classical_beam_20251105_194520_b37c5e928f6a.json,saved_experiments\compare_routers_10x10_689\images\classical_beam_20251105_194520_b37c5e928f6a.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,3,39,24,4
compare_routers_10x10_689,classical_wave,2188f425e108,20251105_194520,wave,saved_experiments\compare_routers_10x10_689\metrics\classical_wave_20251105_194520_2188f425e108.json,saved_experiments\compare_routers_10x10_689\solutions\classical_wave_20251105_194520_2188f425e108.json,saved_experiments\compare_routers_10x10_689\images\classical_wave_20251105_194520_2188f425e108.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,4,40,24,8
compare_routers_10x10_689,quantum_astar,abcb381857c6,20251105_194541,quantum,saved_experiments\compare_routers_10x10_689\metrics\quantum_astar_20251105_194541_abcb381857c6.json,saved_experiments\compare_routers_10x10_689\solutions\quantum_astar_20251105_194541_abcb381857c6.json,saved_experiments\compare_routers_10x10_689\images\quantum_astar_20251105_194541_abcb381857c6.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,4,42,24,8
compare_routers_10x10_689,quantum_smart,5c6436d48833,20251105_194542,quantum,saved_experiments\compare_routers_10x10_689\metrics\quantum_smart_20251105_194542_5c6436d48833.json,saved_experiments\compare_routers_10x10_689\solutions\quantum_smart_20251105_194542_5c6436d48833.json,saved_experiments\compare_routers_10x10_689\images\quantum_smart_20251105_194542_5c6436d48833.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,1,7,24,0
compare_routers_10x10_689,quantum_smartv2,a0e8dc31e521,20251105_194544,quantum,saved_experiments\compare_routers_10x10_689\metrics\quantum_smartv2_20251105_194544_a0e8dc31e521.json,saved_experiments\compare_routers_10x10_689\solutions\quantum_smartv2_20251105_194544_a0e8dc31e521.json,saved_experiments\compare_routers_10x10_689\images\quantum_smartv2_20251105_194544_a0e8dc31e521.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,1,7,24,0
