experiment_name,config_name,run_id,timestamp,algorithm,metrics_path,solution_path,image_path,config_json,router_state_json,cell_conflicts,layers_used,routed_nets,total_length,total_nets,total_turns
compare_routers_10x10_375,classical_beam,a6ac9fae2e2b,20251105_181449,beam,saved_experiments\compare_routers_10x10_375\metrics\classical_beam_20251105_181449_a6ac9fae2e2b.json,saved_experiments\compare_routers_10x10_375\solutions\classical_beam_20251105_181449_a6ac9fae2e2b.json,saved_experiments\compare_routers_10x10_375\images\classical_beam_20251105_181449_a6ac9fae2e2b.png,"{""name"": ""classical_beam"", ""algorithm"": ""beam"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,2,15,2,1
compare_routers_10x10_375,classical_wave,335e2df4e20f,20251105_181449,wave,saved_experiments\compare_routers_10x10_375\metrics\classical_wave_20251105_181449_335e2df4e20f.json,saved_experiments\compare_routers_10x10_375\solutions\classical_wave_20251105_181449_335e2df4e20f.json,saved_experiments\compare_routers_10x10_375\images\classical_wave_20251105_181449_335e2df4e20f.png,"{""name"": ""classical_wave"", ""algorithm"": ""wave"", ""router_kwargs"": {""max_layers"": 1}, ""solve_kwargs"": {}, ""metadata"": {}}",{},0,1,2,15,2,1
compare_routers_10x10_375,quantum_astar,9407e81c5c56,20251105_181450,quantum,saved_experiments\compare_routers_10x10_375\metrics\quantum_astar_20251105_181450_9407e81c5c56.json,saved_experiments\compare_routers_10x10_375\solutions\quantum_astar_20251105_181450_9407e81c5c56.json,saved_experiments\compare_routers_10x10_375\images\quantum_astar_20251105_181450_9407e81c5c56.png,"{""name"": ""quantum_astar"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""astar"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""astar""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,2,15,2,1
compare_routers_10x10_375,quantum_smart,5a5055ee343d,20251105_181450,quantum,saved_experiments\compare_routers_10x10_375\metrics\quantum_smart_20251105_181450_5a5055ee343d.json,saved_experiments\compare_routers_10x10_375\solutions\quantum_smart_20251105_181450_5a5055ee343d.json,saved_experiments\compare_routers_10x10_375\images\quantum_smart_20251105_181450_5a5055ee343d.png,"{""name"": ""quantum_smart"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smart"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smart""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,2,15,2,1
compare_routers_10x10_375,quantum_smartv2,c90f3feb9671,20251105_181451,quantum,saved_experiments\compare_routers_10x10_375\metrics\quantum_smartv2_20251105_181451_c90f3feb9671.json,saved_experiments\compare_routers_10x10_375\solutions\quantum_smartv2_20251105_181451_c90f3feb9671.json,saved_experiments\compare_routers_10x10_375\images\quantum_smartv2_20251105_181451_c90f3feb9671.png,"{""name"": ""quantum_smartv2"", ""algorithm"": ""quantum"", ""router_kwargs"": {""num_reads"": 250, ""cost_weight"": 1.0, ""turn_weight"": 0.001, ""onepath_weight"": 10.0, ""conflict_weight"": 100.0, ""P_H"": 100.0, ""use_dwave"": false}, ""solve_kwargs"": {""method"": ""smartv2"", ""per_net_limit"": 30, ""max_layers"": 1}, ""metadata"": {""description"": ""Quantum annealing sweep over per-net candidate count"", ""num_reads"": 250, ""candidate_method"": ""smartv2""}}","{""seed"": null, ""annealer"": ""QuantumAnnealer"", ""default_candidate_method"": ""astar""}",0,1,2,15,2,1
